placa,marca,modelo,tipo,ano,cor,categoria,combustivel,cidade_emplacamento,clonado,num_infracoes
NTX0K83,Ford,EcoSport,SUV,2024,cinza,particular,flex,Blumenau,0,3
BPZ5E14,Hyundai,HB20,passeio,2020,cinza,particular,álcool,Jaraguá do Sul,0,3
YDU6U19,Honda,City,passeio,2024,azul,particular,gasolina,Palhoça,0,3
PDS2O88,Renault,Sandero,passeio,2008,preto,particular,flex,Concórdia,0,2
QBM9T38,Ford,Ka,passeio,2017,preto,particular,flex,Blumenau,0,0
ZMQ9X23,Hyundai,Azera,passeio,2018,preto,particular,flex,Balneário Camboriú,0,3
XLT2G85,Hyundai,Azera,passeio,2023,preto,aluguel,álcool,Jaraguá do Sul,0,3
TRU1C95,Ford,Fiesta,passeio,2018,branco,particular,gasolina,Chapecó,0,0
SCU5C78,Toyota,Corolla,passeio,2018,cinza,particular,flex,Joinville,0,3
SGP4U45,Ford,Ka,passeio,2019,cinza,particular,flex,Florianópolis,0,0
WWZ6A22,Toyota,Etios,passeio,2020,laranja,particular,flex,Criciúma,0,2
EHE4S61,Honda,CG 160,moto,2018,azul,particular,flex,Palhoça,0,2
KXP4F58,Suzuki,Intruder 250,moto,2018,branco,particular,gasolina,Tubarão,0,3
HVZ8D45,Fiat,Mobi,passeio,2024,cinza,particular,flex,São José,0,1
SVB8E50,Ford,EcoSport,SUV,2021,verde,particular,flex,Joinville,0,3
EVM9H93,Peugeot,Partner,utilitário,2025,cinza,particular,gasolina,Palhoça,0,3
ANW1W88,Ford,EcoSport,SUV,2019,verde,particular,flex,Criciúma,0,2
ZIW8C52,Hyundai,Azera,passeio,2015,prata,particular,flex,Itajaí,0,3
AUD2U32,Honda,HR-V,SUV,2010,preto,particular,flex,Joinville,0,2
RGF9I97,Toyota,Etios,passeio,2019,preto,particular,flex,Concórdia,0,3
TTZ6L93,Hyundai,Azera,passeio,2020,preto,particular,elétrico,Joinville,0,1
JNP7Y48,Peugeot,2008,SUV,2020,prata,particular,flex,Blumenau,0,2
GHP8U40,Ford,Fusion,passeio,2018,verde,particular,flex,São José,0,1
IEW6W68,Fiat,Argo,passeio,2019,branco,particular,flex,Criciúma,0,1
JHJ8O86,Yamaha,Fazer 250,passeio,2023,branco,aluguel,flex,Florianópolis,1,2
DDB2P88,Suzuki,Intruder 250,moto,2009,verde,particular,flex,Palhoça,0,1
XPT5Q28,Toyota,SW4,SUV,2022,prata,particular,gasolina,Palhoça,0,2
UNR2S60,Chevrolet,Prisma,passeio,2025,prata,particular,gasolina,Chapecó,0,2
WPE4D46,Honda,HR-V,SUV,2020,cinza,particular,flex,Itajaí,0,0
MAL3L85,Jeep,Renegade,SUV,2016,preto,particular,flex,Tubarão,0,1
HDT2W41,Peugeot,308,passeio,2023,branco,aluguel,flex,Chapecó,0,2
YXJ3Q39,Fiat,Uno,passeio,2020,cinza,particular,álcool,Itajaí,0,3
SNA6W62,Peugeot,Partner,utilitário,2012,branco,particular,flex,Araranguá,0,2
JMA6F13,Suzuki,Yes 125,moto,2021,prata,particular,flex,Chapecó,0,1
CFZ5K86,Peugeot,208,passeio,2012,cinza,particular,diesel,Palhoça,0,1
XLC2J90,Volkswagen,Polo,passeio,2020,prata,particular,flex,Itajaí,0,1
XSL9H14,Suzuki,Yes 125,moto,2021,preto,particular,flex,Blumenau,0,3
GNC8Y16,Jeep,Commander,SUV,2016,amarelo,particular,elétrico,Lages,0,0
KJT4X57,Hyundai,HB20,passeio,2018,prata,aluguel,flex,Blumenau,0,0
IAB5J50,Suzuki,Yes 125,moto,2021,cinza,particular,flex,Itajaí,0,3
IOT9B21,Peugeot,Partner,utilitário,2015,prata,particular,diesel,Joinville,0,1
HPX8G44,Ford,Ranger,caminhão,2022,cinza,particular,diesel,Joinville,0,2
WUR5V09,Volkswagen,T-Cross,SUV,2019,marrom,particular,flex,São José,0,0
CCK7Q37,Yamaha,XTZ 150,moto,2025,laranja,particular,gasolina,Criciúma,0,2
HNK0A09,Jeep,Commander,SUV,2016,branco,particular,flex,Balneário Camboriú,0,0
UYY4R50,Chevrolet,Spin,SUV,2021,azul,particular,flex,Itajaí,0,3
NRM7E17,Hyundai,Azera,passeio,2019,vermelho,particular,diesel,Lages,1,12
WFL2I46,Toyota,Yaris,passeio,2025,cinza,particular,flex,Araranguá,0,0
OWZ8M70,Fiat,Argo,passeio,2024,azul,particular,flex,Balneário Camboriú,0,2
EDP8R20,Chevrolet,S10,caminhão,2017,laranja,particular,diesel,Palhoça,0,3
RDV9R95,Toyota,SW4,SUV,2022,prata,particular,flex,Joinville,0,2
GSW2V21,Jeep,Compass,SUV,2017,cinza,particular,flex,Itajaí,0,2
FIN8P07,Renault,Kwid,passeio,2021,laranja,particular,flex,Florianópolis,0,1
GKR3X52,Peugeot,308,passeio,2005,marrom,aluguel,flex,Blumenau,0,3
TBN4P32,Ford,Ka,passeio,2019,cinza,particular,gasolina,Xanxerê,1,13
HJR9G65,Yamaha,XTZ 150,moto,2021,preto,particular,gasolina,Palhoça,1,20
AVJ0Y38,Hyundai,Azera,passeio,2006,azul,particular,gasolina,Araranguá,0,0
UJC9M70,Chevrolet,Spin,SUV,2016,vermelho,particular,gasolina,Joinville,0,1
RLJ1P17,Suzuki,Intruder 250,moto,2007,prata,particular,flex,Blumenau,0,3
OED0S43,Yamaha,XTZ 150,moto,2011,prata,particular,gasolina,Blumenau,0,0
ILK8P63,Suzuki,Intruder 250,moto,2019,prata,particular,gasolina,Laguna,0,0
FND3A11,Hyundai,HB20,passeio,2018,prata,particular,flex,Florianópolis,0,3
WKT1R35,Ford,Fusion,passeio,2022,preto,aluguel,flex,Joinville,0,3
