placa,marca,modelo,tipo,ano,cor,categoria,combustivel,cidade_emplacamento,clonado,num_infracoes
ORK5I23,Chevrolet,S10,caminhão,2018,prata,particular,diesel,Lages,0,2
RJK6P02,Toyota,Etios,passeio,2023,branco,particular,flex,Florianópolis,0,0
EFE9Z90,Hyundai,Creta,SUV,2020,prata,particular,flex,Balneário Camboriú,0,3
ZBW5L99,Honda,Fit,passeio,2006,preto,particular,flex,Canoinhas,0,0
GKR3X52,Peugeot,308,passeio,2005,marrom,aluguel,flex,Blumenau,0,3
HHG9R59,Chevrolet,S10,caminhão,2022,branco,particular,diesel,Canoinhas,0,3
OWM3D32,Chevrolet,Onix,passeio,2023,preto,particular,flex,Canoinhas,0,0
OJB5Q82,Ford,Fusion,passeio,2018,cinza,particular,flex,São José,0,1
EYI5M85,Hyundai,Tucson,SUV,2021,preto,particular,flex,Chapecó,0,1
IIT9K57,Peugeot,2008,SUV,2021,preto,particular,diesel,Florianópolis,0,0
WNC7P86,Peugeot,308,passeio,2022,preto,particular,flex,Joinville,0,2
VAX8F16,Jeep,Compass,SUV,2019,branco,aluguel,diesel,Lages,0,3
OHQ6D92,Yamaha,Factor 125,moto,2019,prata,particular,flex,Palhoça,0,3
ANW2N79,Yamaha,Fazer 250,moto,2020,marrom,aluguel,gasolina,Joinville,0,1
OZW9O27,Suzuki,Intruder 250,moto,2012,vermelho,particular,gasolina,Blumenau,0,3
VQI2C40,Suzuki,Intruder 250,moto,2012,preto,particular,gasolina,Joinville,0,3
PQE7C84,Yamaha,Factor 125,moto,2022,cinza,particular,gasolina,Lages,0,3
JOJ9N98,Hyundai,Creta,SUV,2019,preto,particular,álcool,Palhoça,0,0
JRO0B55,Jeep,Renegade,SUV,2011,preto,particular,flex,Canoinhas,0,0
CEF9W80,Yamaha,Fazer 250,moto,2018,verde,particular,flex,Brusque,0,0
BJV2K59,Yamaha,Fazer 250,moto,2005,prata,particular,flex,Chapecó,0,0
ITI5P33,Ford,Fusion,passeio,2008,laranja,particular,elétrico,São José,0,1
EWG8R10,Hyundai,HB20,passeio,2019,amarelo,particular,flex,Araranguá,0,3
SID7M81,Peugeot,208,passeio,2021,laranja,particular,flex,Blumenau,0,2
HIC7U64,Fiat,Strada,utilitário,2010,preto,particular,flex,Criciúma,0,0
CBS0D27,Hyundai,Tucson,SUV,2021,azul,aluguel,flex,Chapecó,0,2
EZN4I68,Toyota,Hilux,utilitário,2021,branco,particular,flex,Blumenau,0,2
CUL1F40,Hyundai,Creta,SUV,2007,verde,particular,diesel,Blumenau,0,2
NTD9L06,Yamaha,Factor 125,moto,2022,branco,aluguel,flex,Concórdia,0,1
HGQ9T31,Chevrolet,S10,caminhão,2020,marrom,particular,diesel,Palhoça,0,0
SER5A48,Hyundai,Creta,SUV,2023,amarelo,particular,flex,Joinville,0,2
PSF9E09,Renault,Logan,passeio,2022,marrom,particular,gasolina,Blumenau,0,1
VVB5O18,Jeep,Commander,SUV,2023,vermelho,particular,flex,Balneário Camboriú,0,3
DWM4A28,Honda,Civic,passeio,2024,preto,aluguel,flex,Blumenau,0,0
HCN5P64,Fiat,Toro,utilitário,2014,branco,particular,flex,Rio do Sul,0,0
TBH1L44,Suzuki,Intruder 250,moto,2016,branco,particular,gasolina,Concórdia,0,1
JBQ7O99,Ford,EcoSport,SUV,2019,prata,particular,álcool,Joinville,0,1
ALG6A89,Honda,Fit,passeio,2006,vermelho,particular,flex,Chapecó,0,2
VHR9W98,Hyundai,HB20,passeio,2021,prata,particular,diesel,Blumenau,0,1
SRY9U36,Suzuki,Intruder 250,moto,2025,laranja,particular,flex,Concórdia,0,1
BSU8F27,Toyota,Yaris,passeio,2023,amarelo,particular,flex,Itajaí,0,3
FWF4M99,Peugeot,208,passeio,2022,cinza,aluguel,gasolina,Criciúma,0,1
UWB9R95,Fiat,Strada,utilitário,2025,preto,particular,flex,Itajaí,0,2
JVI8J34,Peugeot,208,passeio,2018,prata,particular,flex,Joinville,0,1
RYY0I30,Jeep,Commander,SUV,2021,branco,particular,flex,Lages,0,2
BAE4L30,Fiat,Argo,passeio,2023,branco,aluguel,flex,Itajaí,0,1
BEL4V18,Renault,Sandero,passeio,2025,vermelho,particular,flex,Brusque,0,1
FUP0K02,Volkswagen,T-Cross,SUV,2022,preto,particular,flex,Blumenau,0,2
FMI7B11,Ford,Fiesta,passeio,2018,cinza,aluguel,flex,São José,0,0
