placa,marca,modelo,tipo,ano,cor,categoria,combustivel,cidade_emplacamento,clonado,num_infracoes
USL8R75,Fiat,Mobi,passeio,2023,azul,particular,gasolina,Palhoça,0,1
FEY0B84,Toyota,Yaris,passeio,2022,cinza,particular,flex,Blumenau,0,1
JYL1I76,Volkswagen,Polo,passeio,2021,prata,particular,gasolina,Lages,0,0
ZTG3Z59,Honda,CG 160,moto,2022,prata,particular,gasolina,Tubarão,0,0
MVT6A80,Peugeot,Partner,utilitário,2025,preto,particular,diesel,Blumenau,0,2
TSJ4B48,Suzuki,Intruder 250,moto,2007,prata,aluguel,flex,Joinville,0,0
SMH0T98,Renault,Duster,SUV,2018,branco,particular,flex,Chapecó,0,3
TTR0M09,Renault,Logan,passeio,2008,azul,particular,elétrico,Balneário Camboriú,0,2
OSH8D88,Peugeot,2008,SUV,2023,cinza,oficial,flex,Lages,0,1
KRF0I80,Renault,Duster,SUV,2018,cinza,particular,gasolina,Lages,0,2
FZD9U89,Ford,Ranger,caminhão,2018,branco,particular,diesel,Palhoça,0,2
FAG7K30,Hyundai,Tucson,SUV,2023,vermelho,particular,gasolina,Chapecó,0,2
ZXS4E70,Hyundai,HB20,passeio,2024,branco,particular,elétrico,Balneário Camboriú,0,0
DNW1V76,Jeep,Commander,SUV,2018,prata,aluguel,flex,Laguna,0,3
BKK0M76,Yamaha,Fazer 250,moto,2006,preto,particular,flex,Blumenau,0,3
YTY1Z04,Chevrolet,Onix,passeio,2024,preto,particular,flex,Lages,0,0
RQG2X14,Volkswagen,Voyage,passeio,2009,branco,particular,flex,Florianópolis,0,1
JTR1W19,Fiat,Uno,passeio,2023,laranja,particular,diesel,Chapecó,0,0
GLX2J27,Yamaha,Fazer 250,moto,2018,branco,particular,flex,Araranguá,0,0
ECX2U43,Jeep,Compass,SUV,2020,azul,particular,flex,Balneário Camboriú,1,19
ETM5V48,Peugeot,208,passeio,2017,cinza,particular,flex,Itajaí,0,2
HAW7D40,Yamaha,XTZ 150,moto,2012,branco,aluguel,flex,Xanxerê,1,11
QQK8M99,Peugeot,208,passeio,2018,preto,aluguel,flex,Florianópolis,0,3
WOR8F63,Honda,Civic,passeio,2025,azul,particular,flex,Florianópolis,0,3
YGL7N79,Yamaha,Factor 125,moto,2025,branco,particular,gasolina,Criciúma,0,0
VTT0V71,Renault,Duster,SUV,2021,verde,particular,diesel,Joinville,0,2
NLO6Q43,Chevrolet,Tracker,SUV,2025,azul,particular,flex,Florianópolis,1,2
QLI0C96,Ford,Ranger,caminhão,2024,preto,particular,diesel,Joinville,0,3
QOE4X58,Jeep,Renegade,SUV,2015,cinza,particular,flex,Blumenau,0,0
JJX1M92,Volkswagen,Voyage,passeio,2019,prata,particular,flex,Balneário Camboriú,0,1
KXH6I30,Fiat,Mobi,passeio,2025,preto,particular,flex,Itajaí,0,2
VQC3U57,Honda,City,passeio,2017,preto,particular,flex,Florianópolis,0,3
IOC3O80,Ford,Ranger,caminhão,2005,preto,particular,diesel,Blumenau,0,3
YHF2R19,Honda,City,passeio,2019,prata,particular,gasolina,Blumenau,0,2
MUS9M43,Suzuki,Yes 125,moto,2025,cinza,particular,flex,Chapecó,0,3
WDP8Y89,Jeep,Commander,SUV,2025,preto,particular,gasolina,Lages,1,5
BWO3T78,Toyota,SW4,SUV,2025,verde,aluguel,flex,Palhoça,0,2
FKA9F37,Toyota,Etios,passeio,2024,branco,particular,flex,Palhoça,0,3
BSD4L67,Peugeot,2008,SUV,2018,branco,particular,gasolina,Chapecó,0,2
TZJ1R69,Fiat,Uno,passeio,2023,verde,particular,flex,Chapecó,0,0
BKC7J76,Fiat,Toro,utilitário,2025,preto,particular,elétrico,Xanxerê,0,3
LAN1P51,Yamaha,Factor 125,moto,2022,cinza,aluguel,flex,Chapecó,0,1
JQU9U33,Toyota,Hilux,utilitário,2020,preto,particular,flex,Joinville,0,2
CXO8K85,Honda,HR-V,SUV,2009,vermelho,particular,flex,São José,0,1
OAC2G35,Chevrolet,Tracker,SUV,2021,vermelho,particular,gasolina,Palhoça,0,2
SUT3T93,Renault,Duster,SUV,2013,branco,aluguel,álcool,São José,1,1
ETE1Y84,Fiat,Toro,utilitário,2025,cinza,particular,flex,Joinville,0,2
JHF2U08,Fiat,Mobi,passeio,2024,cinza,particular,flex,Chapecó,0,2
TMA5U58,Hyundai,HB20,passeio,2011,cinza,aluguel,gasolina,Blumenau,0,1
YVG7I77,Volkswagen,T-Cross,SUV,2022,prata,particular,flex,Blumenau,0,0
ALR2Q58,Suzuki,Intruder 250,moto,2024,branco,particular,flex,Palhoça,0,3
DUM8U07,Volkswagen,Virtus,passeio,2019,cinza,particular,flex,Joinville,0,1
DYJ2A31,Peugeot,Partner,utilitário,2008,laranja,particular,álcool,Blumenau,0,2
ESE9X28,Honda,Civic,passeio,2011,preto,particular,flex,Itajaí,0,3
HUG7N18,Fiat,Strada,utilitário,2018,preto,particular,gasolina,Lages,0,1
QER2H23,Ford,EcoSport,SUV,2010,cinza,particular,flex,Florianópolis,0,2
DCL3Z10,Jeep,Renegade,SUV,2008,preto,particular,gasolina,Itajaí,0,0
BIB4J31,Honda,CG 160,moto,2024,prata,particular,gasolina,Joinville,0,2
JPT4N35,Jeep,Renegade,SUV,2018,preto,particular,gasolina,Blumenau,0,1
ABP1D23,Peugeot,2008,SUV,2007,cinza,aluguel,diesel,Canoinhas,0,0
JLP2S72,Fiat,Mobi,passeio,2010,preto,particular,flex,Florianópolis,1,2
QEY7B07,Hyundai,HB20,passeio,2018,cinza,particular,flex,Rio do Sul,1,10
DNR3B24,Ford,EcoSport,SUV,2022,cinza,particular,flex,São José,0,1
SAT8G81,Yamaha,Factor 125,moto,2018,vermelho,particular,gasolina,Lages,0,2
BCI6H47,Chevrolet,Spin,SUV,2023,branco,aluguel,flex,São José,0,1
UCT8H43,Peugeot,Partner,utilitário,2016,laranja,particular,gasolina,Joinville,0,0
BLI2D84,Suzuki,Intruder 250,moto,2023,prata,particular,gasolina,Laguna,0,0
FDE5O43,Chevrolet,Tracker,SUV,2022,prata,particular,flex,Chapecó,0,2
QUI5C03,Peugeot,308,passeio,2017,preto,particular,álcool,Itajaí,0,0
JAJ5F16,Yamaha,Factor 125,moto,2020,cinza,particular,gasolina,Balneário Camboriú,1,1
