placa,timestamp,cam,faixa,lat,lon,timestamp_legivel,is_clonado,num_infracoes,marca,modelo,tipo,cor
FKO4O94,1754017200430,CAM117,1,-27.791417,-50.351351,2025-08-01 03:00:00,False,0,Suzuki,Yes 125,moto,preto
YOK1Q27,1754017201864,CAM014,2,-27.618764,-48.509904,2025-08-01 03:00:01,False,0,Peugeot,308,passeio,preto
NTC8B19,1754017202512,CAM056,2,-26.888378,-49.076525,2025-08-01 03:00:02,False,0,Toyota,SW4,SUV,azul
CUO9X73,1754017212237,CAM092,2,-27.611101,-48.660029,2025-08-01 03:00:12,False,3,Suzuki,Yes 125,moto,prata
HQV2I85,1754017213319,CAM040,1,-26.306064,-48.867334,2025-08-01 03:00:13,False,0,Volkswagen,Polo,passeio,preto
LJA5O07,1754017215003,CAM100,3,-27.590177,-48.600037,2025-08-01 03:00:15,False,3,Chevrolet,Prisma,passeio,preto
SLL0Q65,1754017216229,CAM018,2,-27.592548,-48.537945,2025-08-01 03:00:16,False,2,Jeep,Renegade,SUV,branco
OQN2T35,1754017218289,CAM076,2,-27.143168,-52.614024,2025-08-01 03:00:18,False,2,Fiat,Uno,passeio,branco
RWW2D30,1754017219836,CAM006,1,-27.587811,-48.524155,2025-08-01 03:00:19,False,0,Volkswagen,T-Cross,SUV,branco
YXA6P27,1754017223167,CAM188,2,-26.837978,-52.372409,2025-08-01 03:00:23,False,0,Peugeot,2008,SUV,verde
RGR5U62,1754017223444,CAM143,1,-27.022735,-48.635093,2025-08-01 03:00:23,False,3,Peugeot,208,passeio,cinza
RTQ7H00,1754017224692,CAM031,1,-26.261398,-48.876305,2025-08-01 03:00:24,False,1,Ford,Fiesta,passeio,laranja
SSG4R56,1754017225580,CAM137,1,-26.954126,-48.615924,2025-08-01 03:00:25,False,1,Toyota,Corolla,passeio,prata
EML2W55,1754017227032,CAM046,1,-26.906629,-49.07486,2025-08-01 03:00:27,False,2,Honda,Civic,passeio,verde
FHF9N21,1754017228312,CAM007,2,-27.553612,-48.528583,2025-08-01 03:00:28,False,2,Hyundai,Creta,SUV,cinza
DWQ8X12,1754017229408,CAM043,1,-26.324406,-48.833723,2025-08-01 03:00:29,False,2,Volkswagen,Voyage,passeio,cinza
MIU1H29,1754017229862,CAM047,3,-26.879187,-49.038446,2025-08-01 03:00:29,False,1,Volkswagen,Voyage,passeio,cinza
IFF5C26,1754017233551,CAM008,1,-27.571788,-48.588159,2025-08-01 03:00:33,False,0,Suzuki,Intruder 250,moto,preto
FCQ0N54,1754017233986,CAM025,1,-26.294721,-48.821086,2025-08-01 03:00:33,False,0,Toyota,Yaris,passeio,amarelo
TUB6K29,1754017234680,CAM095,2,-27.595404,-48.665799,2025-08-01 03:00:34,False,1,Volkswagen,T-Cross,SUV,branco
AWF4M39,1754017236928,CAM198,3,-28.479747,-48.797342,2025-08-01 03:00:36,False,2,Toyota,SW4,SUV,laranja
YAP3C50,1754017237969,CAM035,1,-26.280417,-48.824276,2025-08-01 03:00:37,False,3,Renault,Duster,SUV,preto
SLJ5W35,1754017238422,CAM114,2,-27.776337,-50.33191,2025-08-01 03:00:38,False,3,Chevrolet,Prisma,passeio,prata
SOZ1O96,1754017240357,CAM025,1,-26.294721,-48.821086,2025-08-01 03:00:40,True,6,Chevrolet,Spin,SUV,preto
IMA0R40,1754017241079,CAM128,2,-27.615405,-48.67499,2025-08-01 03:00:41,False,0,Peugeot,Partner,utilitário,cinza
QWJ3H24,1754017243124,CAM184,1,-26.866062,-52.443656,2025-08-01 03:00:43,False,3,Jeep,Renegade,SUV,branco
IGJ0Y27,1754017246361,CAM084,1,-26.892041,-48.697496,2025-08-01 03:00:46,False,1,Renault,Logan,passeio,preto
