placa,marca,modelo,tipo,ano,cor,categoria,combustivel,cidade_emplacamento,clonado,num_infracoes
HDM4A18,Chevrolet,Tracker,SUV,2017,branco,particular,flex,Florianópolis,0,2
ALN0T32,Volkswagen,Voyage,passeio,2021,vermelho,particular,flex,Balneário Camboriú,0,1
IGO4R19,Ford,EcoSport,SUV,2025,prata,particular,diesel,Blumenau,0,2
TWG2W34,Chevrolet,Tracker,SUV,2014,preto,aluguel,gasolina,Florianópolis,0,0
HUU7C48,Volkswagen,Voyage,passeio,2024,cinza,particular,elétrico,São José,0,1
BFW6M02,Honda,City,passeio,2013,prata,particular,flex,Balneário Camboriú,0,0
KKR1J39,Toyota,Hilux,utilitário,2009,vermelho,particular,flex,São José,0,0
JUK6I39,Yamaha,Fazer 250,moto,2015,azul,aluguel,gasolina,Lages,0,3
LZR2Z97,Chevrolet,S10,caminhão,2021,verde,particular,diesel,Xanxerê,0,2
EWZ4T93,Yamaha,Factor 125,moto,2021,preto,aluguel,gasolina,Palhoça,0,2
UEA0N68,Hyundai,Azera,passeio,2021,amarelo,particular,flex,Canoinhas,0,3
VYK4U40,Yamaha,Fazer 250,moto,2021,preto,particular,flex,São José,0,3
QYI6E58,Fiat,Strada,utilitário,2021,preto,particular,flex,Blumenau,0,1
HLH7T67,Jeep,Compass,SUV,2020,branco,particular,flex,Caçador,0,1
NOX7G23,Honda,Civic,passeio,2022,cinza,particular,flex,São José,0,2
FBX5F09,Fiat,Mobi,passeio,2010,preto,particular,flex,Blumenau,0,1
PMC8G87,Fiat,Uno,passeio,2024,prata,particular,flex,Lages,0,0
QUB0D56,Volkswagen,Polo,passeio,2020,verde,particular,flex,Lages,0,0
ILK6K45,Toyota,Etios,passeio,2013,branco,particular,flex,Araranguá,0,1
HXH7B14,Chevrolet,S10,caminhão,2013,vermelho,particular,diesel,Concórdia,0,2
NYW3K23,Fiat,Uno,passeio,2025,prata,particular,flex,Chapecó,0,0
ZNZ1C83,Ford,Ranger,caminhão,2020,preto,particular,diesel,Chapecó,1,15
GHC8V45,Toyota,Etios,passeio,2020,prata,particular,flex,Blumenau,0,1
ZKF0O06,Volkswagen,Virtus,passeio,2014,branco,particular,flex,Blumenau,0,3
QWR0P44,Hyundai,Creta,SUV,2008,amarelo,particular,flex,Tubarão,1,10
UMG2P55,Hyundai,Creta,SUV,2021,branco,oficial,flex,Criciúma,0,2
VLS2E49,Jeep,Renegade,SUV,2024,verde,particular,flex,Florianópolis,0,0
AYD8S02,Honda,City,passeio,2023,branco,particular,elétrico,Chapecó,0,3
SWB5S71,Toyota,SW4,SUV,2023,branco,particular,flex,Concórdia,0,3
KSD8L39,Hyundai,HB20,passeio,2024,preto,particular,flex,São José,0,1
DKL7G28,Suzuki,Intruder 250,moto,2023,branco,particular,gasolina,Florianópolis,0,1
HQB6C16,Peugeot,208,passeio,2020,preto,aluguel,flex,São José,0,0
OJU2P53,Yamaha,Factor 125,moto,2018,preto,particular,gasolina,Laguna,0,0
PSL4K43,Hyundai,Azera,passeio,2023,prata,particular,flex,Blumenau,0,0
TMM7U55,Ford,Fusion,passeio,2018,cinza,aluguel,flex,Canoinhas,0,3
IHB7I02,Honda,HR-V,SUV,2025,prata,particular,diesel,Rio do Sul,0,0
