placa,marca,modelo,tipo,ano,cor,categoria,combustivel,cidade_emplacamento,clonado,num_infracoes
QYV2E75,Peugeot,Partner,utilitário,2025,prata,particular,flex,Lages,0,0
WEE1T08,Jeep,Commander,SUV,2023,branco,particular,álcool,Florianópolis,0,3
RTQ0F52,Fiat,Toro,utilitário,2019,preto,aluguel,gasolina,Balneário Camboriú,0,2
MVA1S85,Toyota,Etios,passeio,2014,cinza,particular,flex,São José,0,2
NUM9C70,Chevrolet,Spin,SUV,2023,marrom,particular,flex,Concórdia,0,1
FOZ5S62,Volkswagen,Virtus,passeio,2021,branco,aluguel,flex,São José,0,3
WVO6R00,Peugeot,208,passeio,2022,preto,particular,flex,Araranguá,0,0
BJH8I81,Fiat,Argo,passeio,2021,preto,particular,flex,Balneário Camboriú,0,0
RNV9H52,Suzuki,Intruder 250,moto,2024,laranja,aluguel,gasolina,Palhoça,0,2
PLX0E76,Fiat,Strada,utilitário,2017,branco,particular,flex,Itajaí,0,0
PUS4Q04,Renault,Logan,passeio,2023,preto,particular,gasolina,Itajaí,1,20
EWV7X44,Suzuki,Yes 125,moto,2018,cinza,particular,gasolina,Concórdia,0,1
XZO1K34,Chevrolet,Tracker,SUV,2018,verde,particular,flex,Caçador,0,0
GCB3D31,Renault,Sandero,passeio,2007,preto,particular,flex,Palhoça,0,2
MGN7A31,Yamaha,XTZ 150,moto,2021,prata,particular,flex,Canoinhas,0,3
ZPA4E70,Chevrolet,Prisma,passeio,2016,prata,aluguel,flex,Palhoça,0,3
QBN2U34,Honda,Civic,passeio,2022,branco,particular,diesel,Itajaí,0,0
DCO1I41,Yamaha,Fazer 250,moto,2007,branco,particular,gasolina,Florianópolis,0,0
UOO3B19,Peugeot,308,passeio,2024,marrom,particular,flex,Joinville,0,3
DRY9I53,Yamaha,XTZ 150,moto,2022,amarelo,aluguel,flex,Itajaí,0,0
CUN5W27,Chevrolet,S10,caminhão,2024,vermelho,particular,diesel,Lages,0,0
QHR7E72,Honda,CG 160,moto,2020,azul,particular,flex,Blumenau,0,3
LYH8X39,Chevrolet,Tracker,SUV,2019,branco,particular,gasolina,Tubarão,0,3
JIH0M31,Toyota,Hilux,utilitário,2018,preto,particular,diesel,São José,0,0
JYI4G59,Peugeot,Partner,utilitário,2021,branco,particular,flex,Florianópolis,0,1
WHG2M40,Jeep,Compass,SUV,2019,branco,particular,gasolina,Palhoça,1,6
SCY1D72,Yamaha,Factor 125,moto,2022,branco,particular,gasolina,Balneário Camboriú,0,0
QWH6E68,Volkswagen,Virtus,passeio,2020,prata,particular,diesel,Joinville,0,1
OIG3R08,Fiat,Toro,utilitário,2022,branco,particular,flex,Florianópolis,0,3
RTL1X48,Toyota,Corolla,passeio,2012,marrom,aluguel,elétrico,Palhoça,0,2
HEY3S39,Volkswagen,Polo,passeio,2018,preto,aluguel,gasolina,Chapecó,0,0
EBS4N16,Peugeot,2008,SUV,2020,prata,particular,gasolina,Chapecó,0,1
TMR3Z57,Chevrolet,Tracker,SUV,2018,prata,particular,diesel,Palhoça,0,2
CTR6I35,Peugeot,2008,SUV,2012,branco,particular,álcool,Itajaí,0,3
GGR7M79,Honda,City,passeio,2021,cinza,aluguel,flex,São José,0,1
HHY7J55,Fiat,Toro,utilitário,2019,prata,particular,flex,Balneário Camboriú,0,3
COP8V06,Chevrolet,Onix,passeio,2017,branco,particular,gasolina,Itajaí,0,3
PKJ1T36,Yamaha,Fazer 250,moto,2019,cinza,particular,flex,Balneário Camboriú,0,2
JKC2U79,Suzuki,Yes 125,moto,2018,preto,particular,gasolina,Criciúma,0,0
MAJ0G86,Volkswagen,T-Cross,SUV,2019,prata,particular,flex,Balneário Camboriú,0,0
IRH0N74,Chevrolet,Spin,SUV,2022,preto,aluguel,flex,Criciúma,0,2
OZI6I05,Volkswagen,T-Cross,SUV,2021,prata,particular,flex,Florianópolis,0,2
JQR7Z69,Fiat,Toro,utilitário,2006,verde,aluguel,flex,Concórdia,0,1
FHH0R85,Chevrolet,Onix,passeio,2018,preto,particular,flex,Blumenau,0,3
CER3H03,Renault,Logan,passeio,2018,marrom,particular,flex,Chapecó,0,0
AVE7X14,Suzuki,Yes 125,moto,2020,cinza,particular,gasolina,Blumenau,0,2
MMO2G06,Volkswagen,Virtus,passeio,2021,branco,particular,gasolina,Chapecó,0,2
NOP2T62,Suzuki,Yes 125,moto,2012,cinza,aluguel,flex,Criciúma,0,3
AIT1T55,Peugeot,2008,SUV,2011,branco,particular,flex,Chapecó,0,3
SYG1G02,Volkswagen,T-Cross,SUV,2022,preto,particular,diesel,Criciúma,0,0
LWX2F66,Peugeot,2008,SUV,2023,cinza,particular,flex,Caçador,0,2
ZSX5Q91,Suzuki,Yes 125,moto,2024,cinza,particular,gasolina,Chapecó,0,2
ZGI7A14,Honda,CG 160,moto,2019,amarelo,particular,gasolina,Brusque,0,1
DXB6W82,Ford,Fusion,passeio,2008,marrom,particular,flex,Chapecó,0,0
SGV3N45,Fiat,Strada,utilitário,2021,prata,particular,flex,Lages,0,2
SYL8Z10,Chevrolet,S10,caminhão,2009,preto,aluguel,diesel,Jaraguá do Sul,0,0
SIM1C21,Peugeot,Partner,utilitário,2014,amarelo,particular,álcool,São José,0,1
