placa,marca,modelo,tipo,ano,cor,categoria,combustivel,cidade_emplacamento,clonado,num_infracoes
ZBO3H27,Suzuki,Yes 125,moto,2025,preto,particular,gasolina,São José,0,1
XAF1R64,Jeep,Compass,SUV,2025,branco,particular,flex,Jaraguá do Sul,0,0
QLH1H17,Suzuki,Intruder 250,moto,2005,cinza,particular,flex,Itajaí,0,3
NXY2Y53,Fiat,Toro,utilitário,2023,branco,particular,gasolina,Itajaí,0,0
GOG3M10,Chevrolet,S10,caminhão,2025,cinza,colecionador,diesel,São José,0,0
SDK8U88,Fiat,Uno,passeio,2020,vermelho,particular,flex,Itajaí,0,2
SVA8R03,Hyundai,HB20,passeio,2013,azul,particular,flex,Joinville,0,3
OWY7J72,Yamaha,Fazer 250,moto,2019,cinza,oficial,gasolina,Florianópolis,0,2
VPY2A31,Suzuki,Intruder 250,moto,2021,cinza,particular,gasolina,Chapecó,0,0
PTU8H27,Suzuki,Intruder 250,moto,2011,cinza,particular,flex,Lages,0,3
OIZ5F86,Ford,Ranger,caminhão,2022,branco,particular,diesel,Caçador,0,1
MLX9B45,Renault,Logan,passeio,2023,branco,particular,flex,São José,0,3
TPF4L37,Chevrolet,Onix,passeio,2022,preto,particular,flex,Palhoça,0,1
WKJ8T41,Hyundai,Creta,SUV,2019,azul,particular,flex,Florianópolis,0,3
PCD5Y73,Chevrolet,Prisma,passeio,2020,prata,aluguel,diesel,Balneário Camboriú,0,0
BOK9M56,Volkswagen,Polo,passeio,2015,prata,particular,flex,Joinville,0,2
INL9I92,Fiat,Toro,utilitário,2025,laranja,oficial,gasolina,Lages,0,1
BUG9H55,Ford,Fusion,passeio,2022,prata,particular,flex,Blumenau,0,2
JTO5W16,Volkswagen,T-Cross,SUV,2019,branco,particular,flex,Blumenau,0,3
HWP2T61,Honda,Civic,passeio,2020,preto,aluguel,gasolina,Chapecó,0,3
CKP5Y32,Toyota,Etios,passeio,2021,preto,aluguel,flex,Chapecó,0,1
YVY0W85,Hyundai,Tucson,SUV,2020,prata,aluguel,flex,Joinville,0,2
WOB2A76,Toyota,Etios,passeio,2020,branco,particular,flex,Florianópolis,0,0
QHC7Z27,Hyundai,Azera,passeio,2022,cinza,particular,diesel,Florianópolis,0,3
PLR5I04,Jeep,Compass,SUV,2012,branco,particular,álcool,Blumenau,0,1
ZZE7P67,Chevrolet,Tracker,SUV,2018,vermelho,particular,flex,São José,0,1
