placa,marca,modelo,tipo,ano,cor,categoria,combustivel,cidade_emplacamento,clonado,num_infracoes
JBA4T90,Renault,Kwid,passeio,2013,cinza,particular,flex,Blumenau,0,1
TTU3O35,Hyundai,Azera,passeio,2014,prata,particular,flex,Balneário Camboriú,0,0
EJM6O65,Volkswagen,Voyage,passeio,2023,preto,aluguel,flex,Itajaí,0,0
PZA8Q95,Yamaha,Fazer 250,moto,2020,marrom,particular,gasolina,Laguna,0,2
ERT9S17,Fiat,Uno,passeio,2019,prata,particular,gasolina,Chapecó,0,3
XYV6X42,Chevrolet,Prisma,passeio,2024,branco,particular,flex,Brusque,0,2
QVT7K64,Toyota,SW4,SUV,2023,laranja,particular,flex,Chapecó,0,3
JBO2V70,Volkswagen,Polo,passeio,2023,preto,particular,flex,Florianópolis,0,3
AKU0N91,Volkswagen,Virtus,passeio,2019,branco,particular,álcool,Criciúma,0,3
OAC2G35,Chevrolet,Tracker,SUV,2021,vermelho,particular,gasolina,Palhoça,0,2
YZR7T93,Honda,CG 160,moto,2007,cinza,particular,gasolina,Itajaí,0,3
QUJ1D08,Honda,HR-V,SUV,2018,verde,particular,flex,Balneário Camboriú,0,2
ZRF8Z36,Fiat,Uno,passeio,2024,branco,particular,gasolina,Florianópolis,0,1
XGY4C77,Renault,Kwid,passeio,2015,preto,particular,diesel,Itajaí,0,0
OQM2Q09,Peugeot,2008,SUV,2024,branco,particular,elétrico,Florianópolis,0,0
OAD5D68,Hyundai,Tucson,SUV,2023,preto,particular,flex,Tubarão,0,0
RTQ4H34,Toyota,Etios,passeio,2025,cinza,particular,flex,Chapecó,0,0
RDF4C45,Honda,Civic,passeio,2017,branco,particular,flex,Brusque,0,3
PDB0Q39,Chevrolet,Spin,SUV,2020,preto,particular,diesel,Joinville,0,0
FTM5A43,Toyota,Yaris,passeio,2018,prata,particular,flex,Balneário Camboriú,0,1
VIH3L15,Renault,Logan,passeio,2015,branco,particular,flex,Balneário Camboriú,0,1
CDY0F35,Ford,Ranger,caminhão,2019,preto,particular,diesel,São José,0,0
ZDP1Z37,Volkswagen,Voyage,passeio,2025,cinza,particular,diesel,Jaraguá do Sul,0,0
GEY8M44,Renault,Kwid,passeio,2008,vermelho,particular,álcool,São José,0,1
DWS3D76,Renault,Kwid,passeio,2018,prata,particular,gasolina,Caçador,0,0
FYP7E87,Jeep,Compass,SUV,2015,branco,particular,flex,Itajaí,0,0
LQM3I48,Hyundai,Azera,passeio,2022,cinza,particular,flex,Canoinhas,0,3
VLW8M35,Peugeot,208,passeio,2024,branco,aluguel,flex,Criciúma,0,3
XQQ4W12,Chevrolet,Tracker,SUV,2008,preto,particular,gasolina,Criciúma,0,1
YVT4C53,Honda,Fit,passeio,2025,preto,particular,flex,São José,0,3
