placa,marca,modelo,tipo,ano,cor,categoria,combustivel,cidade_emplacamento,clonado,num_infracoes
VOF9S14,Chevrolet,Onix,passeio,2021,branco,aluguel,flex,Itajaí,0,2
KLE7F38,Jeep,Commander,SUV,2021,vermelho,aluguel,gasolina,Criciúma,0,2
MHM2F21,Fiat,Mobi,passeio,2007,preto,particular,álcool,Joinville,0,1
KEN5H43,Honda,Fit,passeio,2019,preto,particular,flex,Criciúma,0,2
KZI9P86,Fiat,Toro,utilitário,2019,prata,particular,diesel,Joinville,0,1
PZG3N34,Peugeot,2008,SUV,2021,cinza,particular,gasolina,Blumenau,0,2
NGA7K43,Peugeot,Partner,utilitário,2017,cinza,particular,flex,Lages,0,1
WGV1S43,Jeep,Renegade,SUV,2021,branco,particular,flex,Brusque,0,2
ZCF5D76,Suzuki,Yes 125,moto,2019,preto,particular,flex,Itajaí,0,0
LFF4H48,Peugeot,Partner,utilitário,2020,prata,particular,flex,Xanxerê,0,1
IQL9V80,Fiat,Mobi,passeio,2024,preto,particular,gasolina,Balneário Camboriú,0,0
YRC2X89,Yamaha,Fazer 250,moto,2019,branco,particular,gasolina,Blumenau,0,0
XEC5N81,Volkswagen,Virtus,passeio,2023,prata,particular,gasolina,Chapecó,0,1
HJM7S93,Honda,CG 160,moto,2021,verde,particular,flex,Florianópolis,0,0
ODV0N61,Renault,Duster,SUV,2014,preto,particular,flex,Rio do Sul,0,0
HIO0E23,Chevrolet,Onix,passeio,2011,branco,particular,flex,Blumenau,0,0
AHH0I25,Ford,Fiesta,passeio,2018,branco,particular,flex,Itajaí,0,1
QCH6M32,Ford,Ranger,caminhão,2021,cinza,aluguel,diesel,Joinville,0,1
JIV0W56,Honda,City,passeio,2025,preto,particular,álcool,Lages,0,0
JRV7D44,Ford,Fusion,passeio,2024,prata,particular,álcool,Caçador,0,0
XYD6N09,Volkswagen,T-Cross,SUV,2005,prata,particular,gasolina,Criciúma,0,1
HVA9J74,Peugeot,Partner,utilitário,2018,branco,aluguel,flex,Jaraguá do Sul,0,2
FHB7N91,Hyundai,Tucson,SUV,2025,preto,particular,elétrico,Canoinhas,0,1
PVM0P52,Chevrolet,Prisma,passeio,2022,preto,particular,flex,Balneário Camboriú,0,2
QXC5Q94,Honda,HR-V,SUV,2022,branco,particular,flex,Balneário Camboriú,0,2
QJI9A65,Suzuki,Intruder 250,moto,2019,prata,particular,flex,Blumenau,1,11
EFK0V10,Hyundai,HB20,passeio,2025,prata,particular,flex,Laguna,0,0
YZF9K70,Toyota,Yaris,passeio,2006,branco,particular,gasolina,Blumenau,1,8
AVS5T69,Fiat,Argo,passeio,2025,prata,particular,diesel,São José,0,2
XCY5S56,Honda,Fit,passeio,2005,cinza,particular,diesel,Concórdia,0,3
CJN3C58,Honda,Civic,passeio,2008,branco,particular,diesel,Palhoça,0,0
VJZ3D69,Honda,Civic,passeio,2023,branco,particular,álcool,Criciúma,0,3
EDL3I60,Chevrolet,S10,caminhão,2025,amarelo,particular,flex,Palhoça,0,2
HKZ4G91,Volkswagen,Voyage,passeio,2005,branco,aluguel,flex,Chapecó,0,3
BRR4W35,Yamaha,Fazer 250,moto,2006,branco,particular,gasolina,Itajaí,0,1
GVE1Q16,Toyota,Yaris,passeio,2019,amarelo,particular,flex,Chapecó,0,1
FVV0V55,Peugeot,2008,SUV,2024,preto,particular,flex,São José,1,15
CAK3B69,Hyundai,Tucson,SUV,2014,prata,particular,flex,Florianópolis,0,2
EAA2G13,Renault,Duster,SUV,2021,verde,aluguel,flex,Chapecó,0,1
UIR9I03,Peugeot,208,passeio,2019,cinza,aluguel,flex,Concórdia,0,1
AMA7C72,Chevrolet,S10,caminhão,2019,preto,particular,flex,Blumenau,0,0
CVQ2P04,Honda,HR-V,SUV,2005,prata,particular,flex,Lages,0,0
SKQ2M61,Ford,Ka,passeio,2024,branco,particular,diesel,Blumenau,0,0
NVR9X61,Hyundai,Tucson,SUV,2024,preto,particular,diesel,Araranguá,0,2
ZWY3P06,Chevrolet,S10,caminhão,2025,cinza,aluguel,flex,Balneário Camboriú,0,0
HVV4S16,Volkswagen,Polo,passeio,2018,preto,particular,flex,São José,0,3
SRM2Q21,Fiat,Argo,passeio,2024,cinza,particular,flex,Brusque,1,11
QSR0W01,Jeep,Renegade,SUV,2020,cinza,particular,gasolina,Araranguá,0,2
